year,type,16-24,25-34,35-44,45-54,55-64,65+
2016,transport,0.1,0.0,0.0,0.1,0.1,0.0
2016,transport,1.0,0.1,0.0,0.3,0.2,0.5
2017,transport,16.6,17.7,11.7,13.8,17.3,15.5
2017,transport,4.3,0.8,0.8,0.1,0.2,0.1
2017,transport,7.7,5.3,3.8,3.4,3.6,5.3
2017,transport,4.9,3.2,3.0,1.7,1.8,1.3
2017,transport,2.9,2.1,0.8,1.7,1.7,4.0
2017,transport,0.4,0.8,0.5,0.1,0.3,0.9
2017,transport,0.5,0.8,0.8,0.7,0.7,0.3
2017,transport,2.1,3.2,0.5,1.1,1.2,0.5
2017,transport,0.3,0.5,0.1,0.3,0.1,0.0
2017,transport,0.3,0.0,0.2,0.1,0.0,0.0
2017,transport,0.2,0.0,0.2,0.0,0.1,0.0
2017,transport,0.0,0.4,0.0,0.0,0.3,0.1
2017,transport,0.2,0.8,0.7,0.1,0.0,0.0
2017,transport,0.1,0.0,0.0,0.3,0.0,0.1
2017,transport,0.3,0.0,0.0,0.0,0.1,0.1
2017,transport,0.6,0.0,0.2,0.2,0.0,0.2
2018,transport,13.2,17.4,11.4,11.5,15.4,15.3
2018,transport,1.2,1.0,0.2,0.2,0.0,0.0
2018,transport,7.8,6.3,2.7,3.3,4.0,4.9
2018,transport,5.3,4.0,2.0,2.3,2.1,1.1
2018,transport,2.5,2.3,0.7,1.0,1.9,3.8
2018,transport,0.2,0.3,0.4,0.0,0.0,0.1
2018,transport,0.8,1.0,0.2,0.7,0.3,0.5
2018,transport,2.7,1.9,2.1,1.2,2.4,0.9
2018,transport,0.5,0.0,0.1,0.0,0.1,0.0
2018,transport,0.4,0.1,0.1,0.0,0.0,0.0
2018,transport,0.1,0.2,0.0,0.0,0.0,0.0
2018,transport,0.0,0.1,0.0,0.0,0.1,0.0
2018,transport,0.2,0.6,0.1,0.0,0.3,0.5
2018,transport,0.0,0.0,0.0,0.0,0.1,0.0
2018,transport,0.2,0.1,0.0,0.0,0.0,0.0
2018,transport,0.1,0.5,0.3,0.4,0.3,0.4
2019,transport,10.0,13.0,12.1,11.8,16.2,16.9
2019,transport,0.8,0.6,0.2,0.3,0.2,0.1
2019,transport,7.1,6.9,3.8,3.2,3.6,4.1
2019,transport,4.6,4.5,2.5,1.7,1.4,1.3
2019,transport,2.6,2.4,1.3,1.5,2.2,2.8
2019,transport,0.6,0.7,0.2,0.1,0.6,0.3
2019,transport,2.0,0.9,1.0,0.7,0.7,0.3
2019,transport,1.7,1.4,1.5,0.9,1.2,0.9
2019,transport,0.3,0.3,0.3,0.1,0.2,0.0
2019,transport,0.9,0.2,0.2,0.0,0.0,0.3
2019,transport,0.0,0.1,0.0,0.1,0.1,0.0
2019,transport,0.1,0.0,0.0,0.0,0.3,0.0
2019,transport,0.7,0.4,0.1,0.0,0.0,0.2
2019,transport,0.0,0.2,0.1,0.0,0.1,0.1
2019,transport,0.1,0.1,0.1,0.0,0.0,0.0
2019,transport,0.1,0.2,0.1,0.1,0.2,0.7
