year,type,action,access to car (1+),no access to car (0)
2018,activity,went on general days out/ to explore an area,20.5,4.8
2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,8.6,1.6
2019,activity,visited friends or family for leisure,40.4,8.3
2019,activity,'special' shopping for items that you do not regularly buy,16.7,3.0
2019,activity,went out for a meal,27.3,5.9
2019,activity,"went on a night out to a bar, pub and/or club",14.4,3.4
2019,activity,"went out for entertainment – to a cinema, concert or theatre",11.0,1.8
2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",23.3,6.6
2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",7.5,3.2
2019,activity,"took part in sports, including exercise classes, going to the gym",6.3,1.0
2019,activity,watched live sporting event (not on tv),10.0,2.6
2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",10.8,2.3
2019,activity,"went to a special public event such as a festival, exhibition, etc.",6.5,1.8
2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",4.2,1.6
2019,activity,"went on days out to a beauty/health centre/spa, etc.",4.1,0.7
2019,activity,went on general days out/ to explore an area,19.6,4.3
2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.6,1.2
2011,place,city/large town,51.8,13.2
2011,place,small town,37.2,6.2
2011,place,village,15.7,2.4
2011,place,rural countryside,20.4,3.7
2011,place,seaside resort or town,8.5,1.3
2011,place,seaside coastline - a beach,5.9,1.1
2011,place,other seaside coastline,1.9,0.2
2011,place,other,2.5,0.8
2012,place,city/large town,61.7,13.6
2012,place,small town,36.4,7.5
2012,place,village,14.5,4.0
2012,place,rural countryside,21.4,3.0
2012,place,seaside resort or town,7.0,1.7
2012,place,seaside coastline - a beach,5.8,0.4
2012,place,other seaside coastline,2.2,0.1
2012,place,other,3.0,0.5
2013,place,city/large town,53.4,14.9
2013,place,small town,31.1,6.3
2013,place,village,14.3,2.5
2013,place,rural countryside,16.7,4.0
2013,place,seaside resort or town,7.6,1.2
2013,place,seaside coastline - a beach,4.2,0.8
2013,place,other seaside coastline,2.2,0.7
2013,place,other,1.9,0.5
2014,place,city/large town,51.9,16.2
2014,place,small town,32.9,7.0
2014,place,village,12.0,2.1
2014,place,rural countryside,17.4,3.9
2014,place,seaside resort or town,8.5,1.0
2014,place,seaside coastline - a beach,4.4,0.7
2014,place,other seaside coastline,2.0,0.6
2015,place,city/large town,49.3,18.3
2015,place,small town,27.3,9.7
2015,place,village,10.2,2.6
2015,place,rural countryside,17.0,2.8
2015,place,seaside resort or town,6.6,2.0
2015,place,seaside coastline - a beach,3.2,1.4
2015,place,other seaside coastline,1.4,0.4
2016,place,city/large town,50.5,10.6
2016,place,small town,32.4,6.3
2016,place,village,14.7,2.1
2016,place,rural countryside,18.7,2.8
2016,place,seaside resort or town,6.2,1.0
2016,place,seaside coastline - a beach,3.9,0.8
2016,place,other seaside coastline,1.5,0.5
