"Form of transport used on trip"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","0.4%","0.5%","0.3%","0.8%","1%","0.1%","0%","0.2%","0%","0.1%","0.9%","0.8%","0.3%","0.3%","0.9%","0.6%","0.5%","0.1%","0%","0.5%","1.6%","0.1%",""

"Tube","0.8","0.5","0.2","0.4","0.2","0","0.1","0.1","0","0.3","0.4","0.1","0.7","0.7","0.1","0.1","0.2","0.3","0.2","0.6","0.2","0.1",
"","0.5%","0.8%","0.3%","1.2%","0.9%","0%","0.3%","0.3%","0%","0.3%","0.8%","0.3%","0.6%","0.5%","0.4%","0.2%","0.3%","0.9%","1.2%","0.6%","1%","0.3%",""

"Tram","0.5","0.5","0","0","0","0.5","0","0","0","0.5","0","0.5","0","0.5","0","0","0","0.5","0","0.5","0","0",
"","0.3%","0.7%","0%","0%","0%","2%","0%","0%","0%","0.5%","0%","1.3%","0%","0.4%","0%","0%","0%","1.6%","0%","0.5%","0%","0%",""

"Motorised caravan\campervan","0.6","0.5","0","0.4","0","0","0","0.2","0","0.2","0.4","0.4","0.2","0.2","0.4","0.2","0.4","0","0","0.2","0.4","0",
"","0.4%","0.8%","0%","1.2%","0%","0%","0%","0.8%","0.1%","0.2%","0.7%","1%","0.2%","0.2%","1.4%","0.3%","0.8%","0%","0%","0.2%","2.2%","0.1%",""

"Plane","1.5","0.7","0.9","0.6","0.2","0.3","0.1","0","0.4","0.8","0.8","0.2","1.3","1.2","0.4","0","0.9","0.4","0.2","1.4","0.3","0.2",
"","1%","1%","1%","2.1%","0.7%","1.1%","0.2%","0%","1.8%","0.8%","1.4%","0.6%","1.1%","0.9%","1.5%","0.1%","1.8%","1.4%","0.8%","1.4%","1.8%","0.4%",""

"Boat\ship\ferry","0.5","0.1","0.4","0.3","0","0","0","0.1","0","0.1","0.4","0","0.5","0.4","0.1","0.1","0.1","0","0.4","0.2","0","0.3",
"","0.3%","0.2%","0.4%","0.8%","0.1%","0.1%","0.1%","0.5%","0.1%","0.1%","0.7%","0.1%","0.4%","0.3%","0.3%","0.1%","0.1%","0%","1.7%","0.2%","0%","0.9%",""

"Lorry\truck\van","0.2","0.1","0.1","0","0.1","0.1","0","0","0","0","0.1","0","0.1","0.2","0","0.1","0","0.1","0","0.2","0","0",
"","0.1%","0.1%","0.1%","0%","0.3%","0.4%","0%","0%","0%","0%","0.2%","0.1%","0.1%","0.1%","0%","0.1%","0%","0.3%","0%","0.2%","0%","0%",""

"Other","0.2","0.2","0","0.1","0","0","0.1","0.1","0","0.2","0","0","0.2","0.2","0","0.1","0.1","0","0.1","0.1","0","0.1",
"","0.2%","0.3%","0%","0.3%","0.1%","0%","0.2%","0.3%","0%","0.2%","0%","0%","0.2%","0.2%","0%","0.2%","0.1%","0%","0.4%","0.1%","0%","0.3%",""
