"Form of transport used on trip"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"Minibus","0.5","0.2","0.4","0","0.1","0.1","0.2","0.1","0","0.3","0.3","0.1","0.5","0.5","0.1","0.1","0.3","0.1","0","0.5","0","0",
"","0.3%","0.2%","0.4%","0.1%","0.4%","0.4%","0.8%","0.2%","0%","0.3%","0.4%","0.2%","0.4%","0.3%","0.3%","0.3%","0.6%","0.2%","0.1%","0.5%","0%","0%",""

"Motor cycle","0.2","0.1","0.1","0","0.1","0","0","0.1","0","0","0.1","0","0.2","0.1","0","0.1","0","0","0","0.2","0","0",
"","0.1%","0.1%","0.1%","0.1%","0.2%","0%","0%","0.3%","0%","0%","0.2%","0%","0.1%","0.1%","0.1%","0.3%","0%","0%","0.1%","0.1%","0%","0%",""

"Tube","0.6","0.2","0.3","0.3","0.2","0","0","0","0","0.2","0.3","0.2","0.4","0.5","0.1","0.1","0.4","0","0","0.5","0","0",
"","0.3%","0.3%","0.4%","1%","0.7%","0.2%","0.1%","0%","0%","0.2%","0.5%","0.4%","0.3%","0.4%","0.2%","0.2%","0.7%","0.1%","0.1%","0.5%","0.3%","0%",""

"Tram","0.1","0","0.1","0","0.1","0","0","0","0","0.1","0","0.1","0","0","0","0","0","0","0","0.1","0","0",
"","0%","0%","0.1%","0%","0.2%","0%","0%","0%","0%","0%","0%","0.1%","0%","0%","0.1%","0%","0.1%","0%","0%","0%","0%","0%",""

"Motorised caravan\campervan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%",""

"Plane","0.5","0.1","0.5","0","0.5","0","0","0","0.1","0.5","0","0.2","0.3","0.5","0","0.2","0.2","0","0.1","0.5","0","0.1",
"","0.3%","0.1%","0.5%","0%","1.5%","0%","0%","0%","0.2%","0.5%","0%","0.5%","0.3%","0.4%","0%","0.4%","0.4%","0%","0.3%","0.4%","0%","0.1%",""

"Boat\ship\ferry","0.7","0.4","0.4","0.1","0.1","0.3","0","0.1","0.2","0.5","0.2","0.4","0.4","0.7","0","0.4","0.3","0","0.1","0.6","0","0.1",
"","0.4%","0.5%","0.4%","0.3%","0.4%","1.3%","0.1%","0.2%","0.6%","0.5%","0.3%","0.9%","0.3%","0.5%","0.1%","0.7%","0.5%","0%","0.3%","0.5%","0%","0.3%",""

"Lorry\truck\van","2.1","0.7","1.4","1.7","0.1","0.1","0","0.1","0","0.3","1.7","0.1","2","1.4","0.7","0.1","1.8","0.2","0","2","1","0",
"","1.3%","1%","1.5%","6.4%","0.4%","0.5%","0.1%","0.5%","0%","0.3%","3%","0.2%","1.6%","1%","2.6%","0.2%","3.1%","0.6%","0%","1.7%","9.3%","0.1%",""

"Other","1.1","0.4","0.7","0.4","0","0.1","0.2","0","0.5","0.5","0.6","0.2","0.9","0.7","0.4","0.2","0.3","0.5","0.2","0.6","0.1","0.5",
"","0.7%","0.6%","0.8%","1.4%","0%","0.6%","0.7%","0%","1.5%","0.5%","1.1%","0.6%","0.7%","0.5%","1.5%","0.3%","0.5%","1.4%","0.9%","0.6%","0.5%","1.1%",""
