year,type,action,ab,c1,c2,de
2018,activity,went on general days out/ to explore an area,8.0,8.1,5.8,3.3
2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.5,2.8,1.9,1.9
2019,activity,visited friends or family for leisure,10.4,13.1,10.6,14.6
2019,activity,'special' shopping for items that you do not regularly buy,5.1,5.0,4.9,4.6
2019,activity,went out for a meal,11.1,8.7,6.9,6.5
2019,activity,"went on a night out to a bar, pub and/or club",5.1,4.2,4.5,4.0
2019,activity,"went out for entertainment – to a cinema, concert or theatre",2.7,3.1,3.2,3.7
2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",7.2,8.3,5.9,8.5
2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.6,2.7,2.3,2.0
2019,activity,"took part in sports, including exercise classes, going to the gym",3.2,1.9,0.8,1.6
2019,activity,watched live sporting event (not on tv),3.7,3.0,2.4,3.6
2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",3.4,4.0,2.2,3.4
2019,activity,"went to a special public event such as a festival, exhibition, etc.",3.3,1.9,1.1,2.0
2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",1.3,1.5,0.6,2.5
2019,activity,"went on days out to a beauty/health centre/spa, etc.",1.2,1.4,1.5,0.7
2019,activity,went on general days out/ to explore an area,5.0,7.1,4.8,6.9
2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,3.0,2.0,1.6,2.1
2011,place,city/large town,23.0,20.4,13.0,8.7
2011,place,small town,14.5,13.5,8.2,7.2
2011,place,village,5.1,7.1,4.1,1.8
2011,place,rural countryside,9.0,8.7,2.9,3.4
2011,place,seaside resort or town,2.9,3.1,3.2,0.7
2011,place,seaside coastline - a beach,1.8,2.3,1.7,1.2
2011,place,other seaside coastline,0.8,0.9,0.2,0.3
2011,place,other,1.3,0.8,0.7,0.5
2012,place,city/large town,22.8,27.4,15.2,9.8
2012,place,small town,13.7,14.6,8.3,7.4
2012,place,village,5.3,6.9,3.1,3.2
2012,place,rural countryside,8.5,9.5,3.7,2.7
2012,place,seaside resort or town,2.3,3.1,2.5,0.9
2012,place,seaside coastline - a beach,2.0,2.2,1.2,0.8
2012,place,other seaside coastline,0.5,1.5,0.2,0.0
2012,place,other,0.6,2.2,0.6,0.1
2013,place,city/large town,21.0,22.9,14.0,10.3
2013,place,small town,12.2,11.4,6.6,7.2
2013,place,village,5.3,5.2,3.1,3.2
2013,place,rural countryside,7.5,6.3,3.2,3.8
