"Activities undertaken"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","4.4%","3.7%","5%","5.7%","4.3%","3.8%","5%","3.3%","3.5%","4.1%","4.9%","3.6%","4.6%","4.3%","4.9%","3.9%","4.2%","5.6%","4.2%","4.2%","3.8%","5%",""

"Going to special events of a personal nature such as a wedding, graduation, christening, etc.","5.3","2.7","2.6","0.7","1","0.7","1.3","1.1","0.5","3.7","1.5","1.2","4.1","5.1","0.1","2.4","1.7","0.8","0.3","4","0.2","1.1",
"","3.4%","3.7%","3.1%","2.1%","3.6%","3.1%","4.4%","5%","2.3%","3.8%","2.7%","3.1%","3.5%","4%","0.5%","4.7%","3.3%","2.7%","1.6%","3.9%","1.1%","2.9%",""

"Going on days out to a beauty/health centre/spa, etc.","3.5","1.4","2.1","0.3","1.3","0.8","0.3","0.4","0.3","2.5","1","1.3","2.2","3.2","0.3","1.5","1","0.5","0.5","2.9","0.2","0.4",
"","2.3%","1.9%","2.6%","1%","4.6%","3.5%","1.2%","2%","1.3%","2.5%","1.8%","3.5%","1.9%","2.5%","1.1%","2.8%","2%","1.8%","2.1%","2.9%","1.1%","1%",""

"Going on general days out/ to explore an area","20.1","7.7","12.4","4.2","3.3","2.8","3.4","3.5","2.8","12.7","7.5","4.3","15.9","16.1","4","5.9","7.9","3.6","2.7","13.1","1.6","5.9",
"","13.1%","10.8%","15%","13.8%","11.8%","11.9%","12.1%","16.1%","13%","12.9%","13.4%","11.1%","13.7%","12.6%","15.4%","11.5%","15.4%","12.2%","12.5%","13%","9.2%","14.9%",""

"Going on day trips/excursions for other leisure purpose not mentioned above","8.6","3.8","4.8","1.6","1.2","1.3","1.5","1.3","1.5","5","3.6","2.1","6.4","7.3","1.3","2.8","3.4","1.6","0.8","5","1.1","2.7",
"","5.6%","5.3%","5.8%","5.4%","4.3%","5.7%","5.2%","6.1%","7.1%","5.1%","6.4%","5.6%","5.5%","5.7%","4.9%","5.4%","6.6%","5.3%","3.8%","5%","6.2%","6.9%",""
