"Activities undertaken"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"Going out for entertainment - to a cinema, concert or theatre","12.6","6.5","6.1","3.4","2.7","1.6","1.6","1.2","2.1","7.3","5.3","3.6","9","10.5","2.1","4.4","4.3","1.9","1.9","6.8","2","3.9",
"","8.8%","9.8%","8%","13.5%","11%","8%","6.6%","5.7%","7.7%","8.4%","9.5%","9.9%","8.5%","9.1%","7.6%","9.9%","9.4%","7.3%","7.6%","8.7%","13.5%","7.4%",""

"Undertaking outdoor leisure activities such as walking, cycling, golf, etc.","24.7","13.9","10.8","2.7","4.1","3.4","4.7","5.1","4.7","15.7","9","5.7","19","20.1","4.6","7.2","7.4","5.3","4.8","14.6","1.5","8.9",
"","17.3%","21.1%","14.1%","10.7%","16.9%","17%","18.9%","23.9%","17.6%","18.1%","16.2%","15.7%","17.9%","17.5%","16.6%","16.2%","16.1%","19.8%","19%","18.7%","10.3%","16.8%",""

"Taking part in other leisure activities such as hobbies, evening classes, etc (outside of your home)","7.1","3.2","4","1.8","1.4","1.1","1.2","0.8","0.9","3.3","3.8","2.6","4.5","5.3","1.8","1.9","2.5","0.9","1.9","4.6","0.8","2",
"","5%","4.8%","5.2%","7.2%","5.8%","5.5%","4.7%","3.5%","3.4%","3.8%","6.9%","7.3%","4.2%","4.6%","6.7%","4.3%","5.3%","3.3%","7.5%","5.9%","5.4%","3.8%",""

"Taking part in sports, including events or competitions","6.2","4.2","2","2.1","1.1","1.1","0.6","0.5","0.8","3.3","2.9","1.9","4.3","4.5","1.7","1.8","2.6","1.3","0.6","3.5","1.1","1.6",
"","4.4%","6.4%","2.6%","8.5%","4.4%","5.6%","2.3%","2.5%","2.9%","3.8%","5.3%","5.3%","4%","3.9%","6.4%","3.9%","5.6%","4.7%","2.5%","4.4%","7.5%","3%",""

"Watching live sporting events (not on TV)","9.7","6.8","2.8","1.7","2.4","2","1.8","0.8","1.1","6.1","3.5","3.3","6.4","7.5","2.2","2.1","3.2","2.5","1.8","6.3","1.3","2.5",
"","6.8%","10.3%","3.7%","6.6%","9.9%","9.7%","7.1%","3.7%","4.1%","7.1%","6.3%","9.1%","6%","6.5%","8%","4.7%","7%","9.5%","7.1%","8%","8.8%","4.7%",""

"Going to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","12.4","5.3","7.1","2.2","3.1","1.3","1.1","2.4","2.2","7.6","4.8","3.3","9.1","9.4","3","3.9","5.4","1.5","1.6","6.5","2","4.2",
"","8.7%","8%","9.3%","8.9%","12.9%","6.2%","4.5%","11.5%","8.3%","8.7%","8.7%","9.2%","8.5%","8.2%","10.8%","8.7%","11.7%","5.5%","6.6%","8.3%","13.8%","7.9%",""

"Going to special public event such as a festival, exhibition, etc.","6.3","2.5","3.8","0.6","1.3","1","1.4","0.2","1.7","4.1","2.2","1.5","4.8","5","1.3","2.3","2.4","1.1","0.5","4.2","0.2","2",
"","4.4%","3.9%","4.9%","2.6%","5.5%","5%","5.5%","1%","6.5%","4.8%","3.9%","4.1%","4.5%","4.4%","4.7%","5.1%","5.3%","4.1%","2%","5.4%","1.6%","3.8%",""

"Going to special events of a personal nature such as a wedding, graduation, christening, etc.","4.4","2.7","1.7","0.5","1.1","1","0.7","0.5","0.6","2.8","1.6","1.6","2.8","3.6","0.8","1.3","1.3","1","0.8","3.5","0.1","0.8",
"","3.1%","4.1%","2.2%","2%","4.7%","4.9%","2.7%","2.2%","2.2%","3.2%","2.9%","4.4%","2.6%","3.1%","3%","3%","2.8%","3.7%","3.2%","4.5%","0.8%","1.5%",""

"Going on days out to a beauty/health centre/spa, etc.","1.1","0.3","0.8","0.2","0.7","0.1","0","0.1","0.1","0.8","0.3","0.6","0.5","0.9","0.2","0.3","0.4","0.4","0","0.8","0.2","0.1",
"","0.8%","0.5%","1%","0.9%","2.9%","0.3%","0.1%","0.3%","0.3%","0.9%","0.6%","1.7%","0.5%","0.8%","0.9%","0.6%","0.9%","1.6%","0%","1%","1.4%","0.2%",""

"Going on general days out/ to explore an area","19.5","9.3","10.1","3.1","3.4","2.7","3.5","3.5","3.2","12.9","6.5","5.3","14.2","16.5","2.9","7.5","5.9","2.9","3.2","11.2","1.9","7.2",
"","13.7%","14.1%","13.3%","12.6%","14.1%","13.4%","13.9%","16.6%","11.9%","14.9%","11.7%","14.6%","13.3%","14.4%","10.7%","16.7%","12.8%","10.8%","12.9%","14.2%","12.7%","13.5%",""

"Going on day trips/excursions for other leisure purpose not mentioned above","10.4","4","6.4","2","1.7","0.8","2","2","1.9","6.6","3.8","2.8","7.5","8.6","1.8","3.2","2.6","1.7","2.9","6","0.3","4.2",
"","7.3%","6%","8.4%","7.9%","7.1%","4%","8.1%","9.2%","7.3%","7.7%","6.7%","7.9%","7.1%","7.5%","6.6%","7.1%","5.7%","6.2%","11.8%","7.6%","2.1%","7.8%",""
